nom,categorie,type_repas,calories,proteines,glucides,lipides,fibres,sucres,sodium_mg,cholesterol_mg,eau_ml
Scrambled Eggs (2 large),Protein/Dairy,Breakfast,180.0,12.0,2.0,14.0,0.0,1.0,180.0,370.0,250.0
Whole Wheat Toast (1 slice),Grain,Breakfast,80.0,4.0,14.0,1.0,2.0,2.0,140.0,0.0,0.0
Coffee (black),Beverage,Breakfast,5.0,0.3,0.0,0.1,0.0,0.0,5.0,0.0,0.0
Banana,Fruit,Breakfast,105.0,1.3,27.0,0.4,3.1,14.0,1.0,0.0,0.0
Grilled Chicken Salad,Meal/Protein,Lunch,350.0,30.0,10.0,20.0,5.0,4.0,400.0,80.0,500.0
Apple,Fruit,Snack,95.0,0.5,25.0,0.3,4.4,19.0,2.0,0.0,0.0
Salmon (4oz grilled),Protein/Fish,Dinner,230.0,25.0,0.0,14.0,0.0,0.0,60.0,60.0,250.0
Quinoa (1 cup cooked),Grain,Dinner,222.0,8.0,39.0,3.6,5.0,1.0,13.0,0.0,0.0
Steamed Broccoli (1 cup),Vegetable,Dinner,55.0,3.7,11.2,0.6,5.1,2.0,40.0,0.0,0.0
Greek Yogurt (plain 1 cup),Dairy,Snack,150.0,25.0,8.0,3.0,0.0,7.0,85.0,10.0,250.0
Oatmeal (1 cup cooked),Grain,Breakfast,160.0,6.0,28.0,3.0,4.0,1.0,2.0,0.0,250.0
Blueberries (1/2 cup),Fruit,Breakfast,42.0,0.5,11.0,0.2,1.8,7.0,1.0,0.0,0.0
Almonds (1 oz),Nut,Snack,164.0,6.0,6.0,14.0,3.5,1.0,1.0,0.0,0.0
Turkey Sandwich (on wheat),Meal/Processed,Lunch,340.0,22.0,34.0,12.0,5.0,6.0,850.0,50.0,500.0
Carrot Sticks (1 cup),Vegetable,Snack,52.0,1.2,12.3,0.3,3.6,6.0,88.0,0.0,0.0
Spaghetti Bolognese,Meal/Pasta,Dinner,460.0,20.0,55.0,18.0,6.0,10.0,700.0,50.0,250.0
Side Salad (light dressing),Vegetable,Dinner,70.0,2.0,8.0,4.0,3.0,3.0,150.0,0.0,0.0
Protein Shake (Whey),Supplement,Snack,120.0,24.0,3.0,1.0,1.0,2.0,160.0,5.0,500.0
Cereal (Frosted Flakes 1 cup),Grain/Processed,Breakfast,130.0,2.0,31.0,0.0,1.0,11.0,190.0,0.0,0.0
Lentil Soup (1 can),Meal/Legume,Lunch,230.0,15.0,35.0,3.0,12.0,6.0,650.0,0.0,250.0
White Rice (1 cup cooked),Grain,Dinner,204.0,4.2,44.5,0.4,0.6,0.1,2.0,0.0,0.0
Tofu Stir-fry,Meal/Vegetarian,Dinner,400.0,18.0,30.0,22.0,7.0,9.0,500.0,0.0,250.0
Orange,Fruit,Snack,62.0,1.2,15.4,0.2,3.1,12.0,0.0,0.0,0.0
Bagel (plain),Grain,Breakfast,270.0,11.0,55.0,1.5,2.0,5.0,430.0,0.0,250.0
Cream Cheese (2 tbsp),Dairy,Breakfast,100.0,2.0,2.0,10.0,0.0,1.0,90.0,30.0,0.0
Tuna Salad (1/2 cup),Meal/Fish,Lunch,190.0,19.0,2.0,12.0,1.0,1.0,400.0,30.0,500.0
Crackers (5 whole wheat),Grain/Processed,Lunch,90.0,2.0,14.0,3.0,2.0,0.0,180.0,0.0,0.0
Beef Steak (6oz sirloin),Protein/Meat,Dinner,270.0,42.0,0.0,10.0,0.0,0.0,90.0,115.0,250.0
Baked Potato (medium),Vegetable,Dinner,160.0,4.3,36.0,0.2,3.8,1.0,17.0,0.0,0.0
Ice Cream (1/2 cup vanilla),Dairy/Dessert,Snack,145.0,2.5,17.0,7.5,0.5,16.0,55.0,30.0,0.0
Pizza (1 slice pepperoni),Meal/Processed,Dinner,290.0,12.0,34.0,12.0,2.0,4.0,720.0,35.0,250.0
Avocado Toast (1 slice),Meal/Vegetarian,Breakfast,260.0,7.0,28.0,15.0,10.0,1.0,350.0,0.0,500.0
Hard-Boiled Egg (1 large),Protein,Snack,78.0,6.3,0.6,5.3,0.0,0.5,62.0,187.0,0.0
Chicken Wrap (with tortilla),Meal/Processed,Lunch,410.0,25.0,38.0,17.0,5.0,3.0,780.0,60.0,250.0
Grapes (1 cup),Fruit,Snack,104.0,1.1,27.0,0.2,1.4,23.0,3.0,0.0,0.0
Cottage Cheese (1/2 cup),Dairy,Snack,90.0,12.0,5.0,3.0,0.0,4.0,400.0,10.0,0.0
Burger (cheeseburger),Meal/Processed,Dinner,550.0,30.0,40.0,30.0,3.0,7.0,1100.0,90.0,500.0
French Fries (medium),Vegetable/Processed,Dinner,340.0,4.0,44.0,17.0,4.0,0.3,230.0,0.0,0.0
Protein Bar,Supplement/Processed,Snack,210.0,20.0,22.0,7.0,6.0,1.0,180.0,5.0,500.0
Black Beans (1/2 cup),Legume,Lunch,114.0,7.6,20.4,0.5,7.5,0.3,1.0,0.0,0.0
Salsa (1/4 cup),Vegetable,Lunch,20.0,0.8,4.5,0.1,1.0,3.0,250.0,0.0,0.0
Chicken Noodle Soup (1 can),Meal/Processed,Lunch,150.0,7.0,18.0,5.0,2.0,2.0,890.0,15.0,250.0
Peanut Butter (2 tbsp),Nut,Snack,190.0,7.0,8.0,16.0,2.0,3.0,140.0,0.0,0.0
Celery Sticks (1 cup),Vegetable,Snack,14.0,0.6,3.0,0.2,1.4,1.2,77.0,0.0,0.0
Cod (4oz baked),Protein/Fish,Dinner,95.0,20.0,0.0,0.8,0.0,0.0,95.0,55.0,250.0
Green Beans (1 cup),Vegetable,Dinner,31.0,1.8,7.0,0.2,2.7,3.3,6.0,0.0,0.0
Chocolate Chip Cookie (1 large),Dessert,Snack,220.0,2.5,30.0,11.0,1.5,19.0,160.0,20.0,0.0
